context	label	year	test_type	question_number	question	answers
“Monumental” is a word that comes very close to expressing the basic characteristic of Egyptian art. 	1	2019	짝수형	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Never before and never since has the quality of monumentality been achieved as fully as it did in Egypt. 	0	2019	짝수형	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
The reason for this is not the external size and massiveness of their works, although the Egyptians admittedly achieved some amazing things in this respect. 	1	2019	짝수형	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Many modern structures exceed those of Egypt in terms of purely physical size. 	1	2019	짝수형	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
But massiveness has nothing to do with monumentality. 	1	2019	짝수형	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
An Egyptian sculpture no bigger than a person’s hand is more monumental than that gigantic pile of stones  that constitutes the war memorial in Leipzig, for instance. 	1	2019	짝수형	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
Monumentality is not a matter of external weight, but of “inner weight.” 	1	2019	짝수형	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
This inner weight is the quality which Egyptian art possesses to such a degree that everything in it seems to be made of primeval stone, like a mountain range, even if it is only a few inches across or carved in wood. 	1	2019	짝수형	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
Psychologists who study giving behavior have noticed that some people give substantial amounts to one or two charities, while others give small amounts to many charities.	1	2018	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Those who donate to one or two charities seek evidence about what the charity is doing and what it is really having a positive impact.	0	2018	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
If the evidence indicates that the charity is really helping others, they make a substantial donation.	1	2018	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Those who give small amounts to many charities are not so interested in whether what they are doing helps others ─ psychologists call them warm glow givers.	1	2018	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
Knowing that they are giving makes them feel good, regardless of the impact of their donation.	1	2018	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
In many cases the donation is so small ─ $10 or less ─ that if they stopped to think, they would realize that the cost of processing the donation is likely to exceed any benefit it brings to the charity.	1	2018	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
When people face real adversity ─ disease, unemployment, or the disabilities of age ─ affection from a pet takes on new meaning.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
A pet’s continuing affection becomes crucially important for those enduring hardship because it reassures them that their core essence has not been damaged.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Thus pets are important in the treatment of depressed or chronically ill patients.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
In addition, pets are used to great advantage with the institutionalized aged.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
