context,label,year,test_type,question_number,question,answers
Speculations about the meaning and purpose of prehistoric art [rely] heavily on analogies drawn with modern-day hunter-gatherer societies. ,TRUE,2020,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
"Such primitive societies,  [as] Steven Mithen emphasizes in The Prehistory of the Modern Mind, tend to view man and beast, animal and plant, organic and inorganic spheres, as participants in an integrated, animated totality. ",TRUE,2020,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
"The dual expressions of this tendency are anthropomorphism (the practice of regarding animals as humans) and totemism (the practice of regarding humans as animals), both of [which] spread through the visual art and the mythology of primitive cultures. ",TRUE,2020,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
Thus the natural world is conceptualized in terms of human social relations. ,TRUE,2020,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"When considered in this light, the visual preoccupation of early humans with the nonhuman creatures [inhabited] their world becomes profoundly meaningful. ",FALSE,2020,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
"Among hunter-gatherers, animals are not only good to eat, they are also good to think about, as Claude Lévi-Strauss has observed. ",TRUE,2020,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"In the practice of totemism, he has suggested, an unlettered humanity “broods upon [itself] and its place in nature.” ",TRUE,2020,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
Suppose we know that Paula suffers from a severe phobia. ,TRUE,2020,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"If we reason that Paula is afraid either of snakes or spiders, and then [establish] that she is not afraid of snakes, we will conclude that Paula is afraid of spiders. ",TRUE,2020,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",1
"However, our conclusion is reasonable only if Paula’s fear really does concern either snakes or spiders. ",TRUE,2020,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"If we know only that Paula has a phobia, then the fact that she’s not afraid of snakes is entirely [consistent] with her being afraid of heights, water, dogs or the number thirteen. ",TRUE,2020,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",2
"More generally, when we are presented with a list of alternative explanations for some phenomenon, and are then persuaded that all but one of those explanations are [unsatisfactory], we should pause to reflect. ",TRUE,2020,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",3
"Before [denying] that the remaining explanation is the correct one, consider whether other plausible options are being ignored or overlooked. ",FALSE,2020,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",4
"The fallacy of false choice misleads when we’re insufficiently attentive to an important hidden assumption, that the choices which have been made explicit exhaust the [sensible] alternatives. ",TRUE,2020,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",5
“Monumental” is a word that comes very close to [expressing] the basic characteristic of Egyptian art. ,TRUE,2019,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
Never before and never since has the quality of monumentality been achieved as fully as it [did] in Egypt. ,FALSE,2019,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
"The reason for this is not the external size and massiveness of their works, although the Egyptians admittedly achieved some amazing things in this respect. ",TRUE,2019,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
Many modern structures exceed [those] of Egypt in terms of purely physical size. ,TRUE,2019,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
But massiveness has nothing to do with monumentality. ,TRUE,2019,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"An Egyptian sculpture no bigger than a person’s hand is more monumental than that gigantic pile of stones  [that] constitutes the war memorial in Leipzig, for instance. ",TRUE,2019,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
"Monumentality is not a matter of external weight, but of “inner weight.” ",TRUE,2019,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"This inner weight is the quality which Egyptian art possesses to such a degree that everything in it seems to be made of primeval stone, like a mountain range, even if it is only a few inches across or [carved] in wood. ",TRUE,2019,짝수형,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
"Europe’s first Homo sapiens lived primarily on large game, particularly reindeer. ",TRUE,2019,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"Even under ideal circumstances, hunting these fast animals with spear or bow and arrow is an [uncertain] task.",TRUE,2019,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",1
"The reindeer, however, had a [weakness] that mankind would mercilessly exploit: it swam poorly. ",TRUE,2019,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",2
"While afloat, it is uniquely [vulnerable], moving slowly with its antlers held high as it struggles to keep its nose above water.",TRUE,2019,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",3
"At some point, a Stone Age genius realized the enormous hunting [advantage] he would gain by being able to glide over the water’s surface, and built the first boat.",TRUE,2019,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",4
"Once the [laboriously] overtaken and killed prey had been hauled aboard, getting its body back to the tribal camp would have been far easier by boat than on land.",FALSE,2019,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",5
It would not have taken long for mankind to apply this advantage to other goods.,TRUE,2019,짝수형,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
